Landuse,Geology,DEM,Slope,Curvature,Aspect,NDVI,SPI,TWI,Dis2catchment,Dis2drainage,Dis2road,Dis2fault,X,Y,label
2,3,592,5.764269829,12.32369995,180,7062,-0.683728993,3.902610064,79.54637541,99.08582717,30.90967905,664.380233,809062.8343,813397.1324,0
3,3,86,8.124300003,19.29579926,225,7448,-0.683770001,3.209500074,1701.625999,312.7673952,11.7542023,622.4926595,807967.4571,811214.3155,0
2,3,418,8.124059677,29.09560013,45,7512,-0.683799028,3.209530115,1099.032063,214.3144097,28.87024739,486.1171925,804800.3882,809618.8748,0
3,3,73,10.88020039,32.76229858,113.1989975,7207,1.56972003,4.868030071,614.3453179,383.8334564,403.1364851,357.4714418,805094.0763,808277.4346,0
3,3,79,14.16259956,47.67549896,143.1300049,7770,-0.114097998,2.639830112,30.04168089,16.49178841,173.8348042,983.9909148,805572.9731,808743.1022,0
2,3,153,23.25469971,53.50960159,130.2359924,7172,0.764844,2.454030037,29.46518894,63.23668367,97.84345091,83.32332608,807808.7068,809475.9995,0
3,3,197,17.80629921,39.40840149,315,7111,0.473701,2.745170116,425.8911637,1.75229622,57.59844785,801.4258743,808063.0777,809415.6744,0
2,2,164,8.609550476,14.0948,90,8065,-0.278351009,3.497230053,32.53188387,24.07866752,125.6429469,553.7110331,808797.7036,808693.9602,0
3,3,145,18.60709953,58.82849884,77.00540161,7067,0.520798981,2.698080063,1100.992882,1096.873512,85.87740239,1050.380405,808121.1627,809620.3565,0
3,3,77,19.64019966,19.1821003,45,7315,0.232492,2.29324007,651.1595468,652.9085448,229.2679614,410.8976012,809222.3607,809608.7148,0
3,3,142,17.70339966,54.10779953,108.4349976,7868,0.120944001,2.404779911,482.9494014,361.6486679,237.426963,403.6186101,810714.6137,810910.4674,0
3,3,721,23.53989983,34.47700119,100.0080032,6390,0.431928992,2.093800068,62.26349768,318.2034884,65.32190962,854.5805426,810564.5064,812276.4257,0
3,3,409,23.32760048,60.43809891,110.5559998,7447,0.42177099,2.103960037,27.34787069,91.72275609,74.19742421,445.8137846,811102.2731,812920.1582,0
3,3,351,4.562799931,37.13339996,18.43490028,7067,0.690702021,5.747049809,48.81984248,41.1412754,48.85625699,260.5155513,810951.4603,813154.3149,0
1,3,313,17.91010094,63.96519852,128.6600037,7923,0.133335993,2.392390013,131.9426109,58.25816708,171.0624189,33.08093678,810241.0527,813376.5654,0
3,3,30,19.36709976,17.37649918,248.9620056,6904,0.217347994,2.308379889,73.82009634,4.784337323,45.17789931,162.8718697,811233.2422,814293.3485,0
3,3,234,27.78809929,64.09700012,73.30079651,7890,2.414020061,3.695219994,2690.854589,498.1134151,131.0689298,319.9946241,809097.2015,815534.9303,0
1,3,38,12.24860001,23.13290024,54.46229935,6415,0.082016997,3.136859894,1737.887737,76.49389499,293.9245139,159.333652,806634.4549,813842.1227,0
3,3,7,0,34.97409821,300,6889,0.9,7.3,1815.971921,64.94046554,5.497460566,967.8352683,811067.7119,809790.625,0
3,3,35,15.93420029,11.83899975,225,7696,0.355931997,2.862940073,39.75749517,161.4872263,197.0872154,1381.316185,811657.7339,810153.1049,0
3,3,128,29.77479935,43.53960037,221.423996,7102,1.05103004,2.167840004,79.91312983,798.0052156,59.83539763,1076.209961,811705.6236,810472.7222,0
3,2,84,4.562530041,18.85040092,161.5650024,3721,0.9,7.3,17.09957377,377.6684562,203.3091678,520.5633714,810500.8145,809948.1406,0
3,3,28,18.21229935,23.19190025,237.529007,7536,0.497806013,2.721070051,147.360688,319.852713,144.2050524,1150.738001,809873.7507,809596.2441,0
3,3,19,2.043869972,45.21049881,45,8049,1.272210002,7.938129902,1023.198843,226.0862995,166.8461315,117.2547442,810085.4178,809744.411,0
3,3,27,14.16279984,52.40100098,216.8699951,7784,2.871550083,5.625440121,2825.072327,360.4095841,76.14958681,1282.382821,807439.5792,809448.0771,0
2,3,47,0,0,300,2262,0.9,7.3,3554.702938,417.6046638,76.17114792,2087.990927,807002.2221,810023.5999,0
3,3,147,8.124110222,30.88929939,315,8015,-0.683793008,3.209520102,3886.185865,483.6817536,36.2563486,1658.671158,806574.6546,809917.7664,0
2,3,251,36.21300125,30.8491993,178.0249939,7472,0.951213002,1.574519992,1592.702838,200.8234552,233.507735,389.5335839,805218.0449,809077.1394,0
3,3,340,16.05170059,22.19510078,307.875,6616,0.017106101,2.508620024,1485.476438,202.3105401,138.9764843,365.8329428,803915.2655,809930.7184,0
3,3,245,31.29229927,17.77820015,184.7640076,6736,1.111570001,2.107310057,2072.47453,489.6104174,526.3855443,368.4631136,802903.5793,808093.9079,0
3,3,268,23.25799942,21.97550011,130.2359924,7031,0.418428004,2.107300043,2232.837342,399.7343762,156.4648618,87.30120572,803322.5976,808385.5487,0
